ule Net	ier J3 Net	
		
mtime	time_B	
		
		
		
		
1	43	14
3	43	15
5	43	16
7	42	14
9	42	15
		
11	42	16
13	41	14
15	43	13
17	43	12
19	42	13
21	42	12
23	41	13
25	41	12
27	40	13
29	40	12
		
31	39	13
33	39	12
35	38	13
37	38	12
39	37	13
41	37	12
112	36	13
114	36	12
116	35	13
118	35	12
		
120	34	13
122	34	12
124	33	13
126	33	12
43	32	13
45	32	12
47	31	13
81	31	12
83	30	13
85	30	12
		
87	29	13
89	29	12
91	29	11
93	28	13
95	28	12
97	28	11
99	27	13
101	27	12
103	27	11
105	26	13
ter_Trigg	er_Trigg_B	
107	26	12
109	26	11
111	25	13
113	25	12
115	25	11
117	24	13
119	24	12
121	24	11
123	23	13
125	23	12
		
127	23	11
		
		
		
		
		
		
		
		
0	41	15
2	41	16
4	40	14
6	40	15
8	40	16
		
10	39	14
12	39	15
14	39	16
16	38	14
18	38	15
20	38	16
22	37	14
24	37	15
26	37	16
28	36	14
		
30	36	15
32	36	16
34	35	14
36	35	15
38	35	16
40	34	14
42	34	15
44	34	16
46	33	14
48	33	15
		
50	33	16
52	32	14
54	32	15
56	32	16
58	31	14
60	31	15
62	31	16
64	30	14
66	30	15
68	30	16
		
70	29	14
72	29	15
74	29	16
76	28	14
78	28	15
80	28	16
82	27	14
84	27	15
86	27	16
88	26	14
		
90	26	15
92	26	16
110	25	14
106	25	15
100	25	16
96	24	14
108	24	15
104	24	16
102	23	14
98	23	15
		
94	23	16
		
		
