1	43	7
3	43	8
5	42	7
7	42	8
9	41	7
11	41	8
13	40	7
15	40	8
17	39	7
19	39	8
21	38	7
23	38	8
25	37	7
27	37	8
29	36	6
31	36	7
33	36	8
35	35	6
37	35	7
39	35	8
41	34	6
114	34	7
116	34	8
118	33	6
120	33	7
122	33	8
124	32	6
126	32	7
128	32	8
43	31	6
45	31	7
47	31	8
81	30	6
83	30	7
85	30	8
87	29	6
89	29	7
91	29	8
93	28	6
95	28	7
97	28	8
99	27	6
101	27	7
103	27	8
105	26	6
107	26	7
109	26	8
111	25	6
113	25	7
115	25	8
117	24	6
119	24	7
121	24	8
123	23	6
125	23	7
127	23	8
0	43	11
2	43	10
4	43	9
6	42	11
8	42	10
10	42	9
12	41	11
14	41	10
16	41	9
18	40	11
20	40	10
22	40	9
24	39	11
26	39	10
28	39	9
30	38	11
32	38	10
34	38	9
36	37	11
38	37	10
40	37	9
42	36	11
44	36	10
46	36	9
48	35	11
50	35	10
52	35	9
54	34	11
56	34	10
58	34	9
60	33	11
62	33	10
64	33	9
66	32	11
68	32	10
70	32	9
72	31	11
74	31	10
76	31	9
78	30	11
80	30	10
82	30	9
84	29	10
86	29	9
88	28	10
90	28	9
92	27	10
110	27	9
106	26	10
100	26	9
96	25	10
108	25	9
104	24	10
102	24	9
98	23	10
94	23	9
