1	4	15
3	4	16
5	5	14
7	5	15
9	5	16
11	6	14
13	6	15
15	6	16
17	7	14
19	7	15
21	7	16
23	8	14
25	8	15
27	8	16
29	9	14
31	9	15
33	9	16
35	10	14
37	10	15
39	10	16
41	11	14
114	11	15
116	11	16
118	12	14
120	12	15
122	12	16
124	13	14
126	13	15
128	13	16
43	14	14
45	14	15
47	14	16
81	15	14
83	15	15
85	15	16
87	16	14
89	16	15
91	16	16
93	17	14
95	17	15
97	17	16
99	18	14
101	18	15
103	18	16
105	19	14
107	19	15
109	19	16
111	20	14
113	20	15
115	20	16
117	21	14
119	21	15
121	21	16
123	22	14
125	22	15
127	22	16
0	2	14
2	2	15
4	2	16
6	3	14
8	3	15
10	3	16
12	4	14
14	2	13
16	2	12
18	3	13
20	3	12
22	4	13
24	4	12
26	5	13
28	5	12
30	6	13
32	6	12
34	7	13
36	7	12
38	8	13
40	8	12
42	9	13
44	9	12
46	10	13
48	10	12
50	11	13
52	11	12
54	12	13
56	12	12
58	13	13
60	13	12
62	14	13
64	14	12
66	15	13
68	15	12
70	16	13
72	16	12
74	16	11
76	17	13
78	17	12
80	17	11
82	18	13
84	18	12
86	18	11
88	19	13
90	19	12
92	19	11
110	20	13
106	20	12
100	20	11
96	21	13
108	21	12
104	21	11
102	22	13
98	22	12
94	22	11
