ule Net	ier J1 Net	
		
mtime	time_B	
		
		
		
		
1	43	1
3	43	2
5	43	3
7	42	1
9	42	2
		
11	42	3
13	41	1
15	41	2
17	41	3
19	40	1
21	40	2
23	40	3
25	39	1
27	39	2
29	38	1
		
31	39	3
33	38	2
35	38	3
37	37	1
39	37	2
41	37	3
112	36	1
114	36	2
116	36	3
118	35	1
		
120	35	2
122	35	3
124	34	1
126	34	2
43	34	3
45	33	1
47	33	2
81	33	3
83	32	1
85	32	2
		
87	32	3
89	31	1
91	31	2
93	31	3
95	30	1
97	30	2
99	30	3
101	29	1
103	29	2
105	29	3
ter_Trigg	er_Trigg_B	
107	28	1
109	28	2
111	28	3
113	27	1
115	27	2
117	27	3
119	26	1
121	26	2
123	26	3
125	25	1
		
127	25	2
		
		
		
		
		
		
		
		
0	43	4
2	43	5
4	43	6
6	42	4
8	42	5
		
10	42	6
12	41	4
14	41	5
16	41	6
18	40	4
20	40	5
22	40	6
24	39	4
26	39	5
28	39	6
		
30	38	4
32	38	5
34	38	6
36	37	4
38	37	5
40	37	6
42	36	5
44	36	4
46	35	5
48	35	4
		
50	34	5
52	34	4
54	33	5
56	33	4
58	32	5
60	32	4
62	31	5
64	31	4
66	30	5
68	30	4
		
70	29	5
72	29	4
74	28	5
76	28	4
78	27	5
80	27	4
82	26	5
84	26	4
86	25	5
88	25	3
		
90	25	4
92	24	5
110	24	4
106	24	1
100	24	2
96	24	3
108	23	5
104	23	4
102	23	1
98	23	2
		
94	23	3
		
		
