Module Pin,Module Net,Carrier J1,Carrier J2,Carrier J3,Carrier J4,Carrier J5,Carrier J6
B46,Ch_63,Col_31-Row_5,Col_33-Row_10,Col_31-Row_16,Col_12-Row_2,Col_14-Row_6,Col_14-Row_13
B47,Ch_65,Col_31-Row_4,Col_33-Row_9,Col_30-Row_14,Col_12-Row_3,Col_15-Row_8,Col_14-Row_12
B48,Ch_67,Col_30-Row_5,Col_32-Row_11,Col_30-Row_15,Col_13-Row_1,Col_15-Row_7,Col_15-Row_13
B49,Ch_69,Col_30-Row_4,Col_32-Row_10,Col_30-Row_16,Col_13-Row_2,Col_15-Row_6,Col_15-Row_12
B5,GND,GND,GND,GND,GND,GND,GND
B50,Ch_71,Col_29-Row_5,Col_32-Row_9,Col_29-Row_14,Col_13-Row_3,Col_16-Row_8,Col_16-Row_13
B51,Ch_73,Col_29-Row_4,Col_31-Row_11,Col_29-Row_15,Col_14-Row_1,Col_16-Row_7,Col_16-Row_12
B52,Ch_75,Col_28-Row_5,Col_31-Row_10,Col_29-Row_16,Col_14-Row_2,Col_16-Row_6,Col_16-Row_11
B53,Ch_77,Col_28-Row_4,Col_31-Row_9,Col_28-Row_14,Col_14-Row_3,Col_17-Row_8,Col_17-Row_13
B54,Ch_79,Col_27-Row_5,Col_30-Row_11,Col_28-Row_15,Col_15-Row_1,Col_17-Row_7,Col_17-Row_12
B55,Ch_81,Col_27-Row_4,Col_30-Row_10,Col_28-Row_16,Col_15-Row_2,Col_17-Row_6,Col_17-Row_11
B56,Ch_83,Col_26-Row_5,Col_30-Row_9,Col_27-Row_14,Col_15-Row_3,Col_18-Row_8,Col_18-Row_13
B57,Ch_85,Col_26-Row_4,Col_29-Row_10,Col_27-Row_15,Col_16-Row_1,Col_18-Row_7,Col_18-Row_12
B58,Ch_87,Col_25-Row_5,Col_29-Row_9,Col_27-Row_16,Col_16-Row_2,Col_18-Row_6,Col_18-Row_11
B59,Ch_89,Col_25-Row_3,Col_28-Row_10,Col_26-Row_14,Col_16-Row_3,Col_19-Row_8,Col_19-Row_13
B6,GND,GND,GND,GND,GND,GND,GND
B60,Ch_91,Col_25-Row_4,Col_28-Row_9,Col_26-Row_15,Col_17-Row_1,Col_19-Row_7,Col_19-Row_12
B61,Ch_93,Col_24-Row_5,Col_27-Row_10,Col_26-Row_16,Col_17-Row_2,Col_19-Row_6,Col_19-Row_11
B62,Ch_111,Col_24-Row_4,Col_27-Row_9,Col_25-Row_14,Col_17-Row_3,Col_20-Row_8,Col_20-Row_13
B63,Ch_107,Col_24-Row_1,Col_26-Row_10,Col_25-Row_15,Col_18-Row_1,Col_20-Row_7,Col_20-Row_12
B64,Ch_101,Col_24-Row_2,Col_26-Row_9,Col_25-Row_16,Col_18-Row_2,Col_20-Row_6,Col_20-Row_11
B65,Ch_97,Col_24-Row_3,Col_25-Row_10,Col_24-Row_14,Col_18-Row_3,Col_21-Row_8,Col_21-Row_13
B66,Ch_109,Col_23-Row_5,Col_25-Row_9,Col_24-Row_15,Col_19-Row_1,Col_21-Row_7,Col_21-Row_12
B67,Ch_105,Col_23-Row_4,Col_24-Row_10,Col_24-Row_16,Col_19-Row_2,Col_21-Row_6,Col_21-Row_11
B68,Ch_103,Col_23-Row_1,Col_24-Row_9,Col_23-Row_14,Col_19-Row_3,Col_22-Row_8,Col_22-Row_13
B69,Ch_99,Col_23-Row_2,Col_23-Row_10,Col_23-Row_15,Col_20-Row_1,Col_22-Row_7,Col_22-Row_12
B7,GND,GND,GND,GND,GND,GND,GND
B70,Ch_95,Col_23-Row_3,Col_23-Row_9,Col_23-Row_16,Col_20-Row_2,Col_22-Row_6,Col_22-Row_11
B8,P1,P1B,P1B,P1B,P1A,P1A,P1A
B9,P1,P1B,P1B,P1B,P1A,P1A,P1A
