"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-31012024-968418";"";
"REFERENCE";"430250600";"";
"TraceParts.PartTitle";"Micro-Fit 3.0";"";
"TraceParts.InstanceId";"90-31012024-9684182N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"Molex";"";
"DESIGN";"Micro-Fit 3.0 Receptacle Housing, Dual Row, 6 Circuits, UL 94V-0, Low-Halogen, Black";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.4";"";
